student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,science_score,english_score,overall_score,final_grade,race_ethnicity,lunch,test_preparation_course,math_score,reading_score,writing_score
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,58.0,59.5,59.5,d,group C,free/reduced,none,61,57,56
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,63.2,46.5,51.5,e,group C,standard,none,49,49,41
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,100.0,99.1,96.4,a,group B,free/reduced,none,44,41,38
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,40.0,23.7,32.0,f,group E,standard,none,30,26,22
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,87.5,84.0,80.7,c,group A,standard,completed,80,78,81
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,75.8,100.0,91.5,b,group D,standard,completed,61,74,72
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,19.0,12.8,32.7,f,group E,standard,none,62,68,68
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,75.2,54.3,59.6,d,group B,standard,none,47,49,50
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,48.9,54.0,58.5,d,group B,free/reduced,none,49,45,45
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,100.0,98.5,83.0,c,group A,free/reduced,completed,50,47,54
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,55.2,72.0,69.1,d,group E,standard,none,72,64,63
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,57.9,53.0,61.7,d,group D,free/reduced,none,42,39,34
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,45.7,45.0,43.9,e,group C,standard,none,73,80,82
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,57.7,46.7,61.3,d,group C,free/reduced,none,76,83,88
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,81.7,89.5,73.9,c,group D,standard,none,71,71,74
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,73.1,57.4,53.4,e,group A,standard,none,58,70,67
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,56.1,62.6,63.4,d,group D,standard,none,73,86,82
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,50.2,63.1,59.9,d,group C,standard,none,65,72,74
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,86.2,79.4,82.0,c,group C,free/reduced,none,27,34,36
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,46.1,31.2,41.3,e,group C,standard,none,71,79,71
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,49.7,54.7,59.5,d,group C,free/reduced,completed,43,45,50
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,93.9,87.6,76.8,c,group B,standard,none,79,86,92
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,79.9,88.2,87.9,b,group C,free/reduced,completed,78,81,82
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,73.9,70.1,66.6,d,group B,standard,completed,65,66,62
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,46.6,57.5,46.2,e,group E,standard,completed,63,72,70
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,50.4,48.3,39.9,f,group D,free/reduced,none,58,67,62
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,57.0,61.6,66.9,d,group D,standard,none,65,67,62
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,73.0,74.8,66.8,d,group B,standard,none,79,67,67
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,48.8,70.5,68.8,d,group D,standard,completed,68,74,74
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,72.3,64.8,73.5,c,group D,standard,none,85,91,89
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,75.6,89.0,81.9,c,group B,standard,completed,60,44,47
105,18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,notes,90.8,96.0,86.4,b,group C,standard,completed,98,86,90
106,18,male,private,graduate,2.8,58.1,yes,15-30 min,no,group study,58.0,23.3,39.3,f,group C,standard,none,58,67,72
107,18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,textbook,44.8,42.7,52.9,e,group D,standard,none,87,100,100
108,17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,textbook,78.7,66.9,75.9,c,group E,standard,completed,66,63,64
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,60.4,85.2,65.2,d,group B,free/reduced,none,52,76,70
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,96.5,74.7,82.4,c,group B,standard,none,70,64,72
111,15,other,private,phd,4.2,97.0,yes,30-60 min,yes,online videos,71.2,49.0,67.3,d,group D,free/reduced,completed,77,89,98
112,18,other,private,high school,7.7,59.3,yes,30-60 min,yes,online videos,85.1,76.7,88.9,b,group C,standard,none,62,55,49
113,17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,43.7,43.6,35.7,f,group A,standard,none,54,53,47
114,16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,group study,63.6,67.7,74.2,c,group D,standard,none,51,58,54
115,17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,mixed,64.0,52.8,61.3,d,group E,standard,completed,99,100,100
116,17,male,private,phd,0.5,74.0,yes,<15 min,no,textbook,35.1,20.1,37.1,f,group C,standard,none,84,77,74
117,14,female,private,phd,1.9,88.1,yes,15-30 min,no,mixed,61.8,63.6,54.8,e,group B,free/reduced,none,75,85,82
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,coaching,12.8,40.9,32.1,f,group D,standard,none,78,82,79
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,32.0,41.9,39.6,f,group D,standard,none,51,63,61
120,14,other,public,phd,7.6,73.1,yes,15-30 min,no,online videos,79.1,72.6,81.9,c,group C,standard,none,55,69,65
121,16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,group study,76.4,86.1,92.0,b,group C,standard,completed,79,92,89
122,18,other,public,post graduate,7.2,96.0,yes,<15 min,no,notes,71.6,83.4,89.4,b,group B,standard,completed,91,89,92
123,17,male,private,diploma,7.9,93.8,yes,>60 min,yes,coaching,100.0,95.8,98.4,a,group C,standard,completed,88,93,93
124,16,male,private,diploma,6.7,61.0,yes,>60 min,no,group study,86.2,80.0,87.8,b,group D,free/reduced,none,63,57,56
125,19,male,private,high school,7.5,77.8,no,<15 min,no,mixed,100.0,76.9,87.1,b,group E,standard,none,83,80,73
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,52.9,52.8,53.1,e,group B,standard,none,87,95,86
127,14,male,private,graduate,2.4,76.6,no,30-60 min,no,notes,64.6,67.1,52.7,e,group B,standard,none,72,68,67
128,18,female,public,no formal,7.0,89.0,yes,>60 min,no,mixed,71.4,71.2,82.6,c,group D,standard,completed,65,77,74
129,17,male,private,graduate,4.1,67.7,yes,>60 min,no,online videos,71.7,66.9,65.0,d,group D,standard,none,82,82,74
130,17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,textbook,66.8,92.5,81.1,c,group A,standard,none,51,49,51
131,17,other,public,phd,4.7,80.4,yes,>60 min,yes,online videos,78.1,75.3,73.8,c,group D,standard,none,89,84,82
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,63.3,41.9,40.6,e,group C,free/reduced,completed,53,37,40
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,39.9,35.2,43.3,e,group E,free/reduced,completed,87,74,70
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,81.5,86.3,78.3,c,group C,standard,completed,75,81,84
135,18,female,private,phd,4.5,81.1,yes,<15 min,no,coaching,70.7,84.0,73.4,c,group D,free/reduced,completed,74,79,75
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,53.9,63.5,50.1,e,group C,standard,none,58,55,48
137,17,male,public,phd,5.1,88.8,no,15-30 min,yes,textbook,80.9,87.6,81.6,c,group B,standard,completed,51,54,41
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,coaching,78.1,50.4,54.2,e,group E,standard,none,70,55,56
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,71.3,67.0,67.6,d,group C,standard,none,59,66,67
140,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,76.9,76.4,85.7,b,group D,standard,completed,71,61,69
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,46.4,54.2,52.6,e,group D,standard,none,76,72,71
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,100.0,92.8,89.7,b,group C,free/reduced,none,59,62,64
143,15,male,private,phd,4.1,92.3,yes,30-60 min,yes,online videos,59.0,66.5,62.0,d,group E,free/reduced,completed,42,55,54
144,16,other,private,diploma,7.7,56.0,yes,<15 min,no,mixed,91.3,92.0,78.7,c,group A,standard,none,57,43,47
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,100.0,96.2,95.6,a,group D,standard,none,88,73,78
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,86.7,82.9,90.2,b,group C,free/reduced,none,22,39,33
147,14,male,private,graduate,6.2,83.7,no,30-60 min,yes,mixed,78.5,82.8,84.5,c,group B,standard,none,88,84,75
148,15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,coaching,77.1,74.9,71.7,c,group C,free/reduced,none,73,68,66
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,58.0,76.3,68.7,d,group D,standard,completed,68,75,81
150,14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,group study,73.1,57.3,61.2,d,group E,free/reduced,completed,100,100,93
151,19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,30.8,32.8,36.9,f,group A,standard,completed,62,67,69
152,15,other,private,graduate,2.1,77.5,yes,30-60 min,no,group study,37.9,45.6,39.3,f,group A,standard,none,77,67,68
153,19,female,public,diploma,0.8,56.3,yes,>60 min,no,notes,26.2,14.7,22.6,f,group B,standard,completed,59,70,66
154,15,other,private,diploma,6.1,82.2,yes,<15 min,yes,mixed,91.6,92.1,87.5,b,group D,standard,none,54,49,47
155,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,37.1,55.7,46.8,e,group D,standard,none,62,67,61
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,57.7,77.6,77.5,c,group C,standard,completed,70,89,88
157,14,other,private,high school,1.5,56.0,yes,<15 min,no,coaching,20.4,33.1,26.5,f,group E,free/reduced,completed,66,74,78
158,17,male,private,no formal,1.0,85.3,no,15-30 min,no,mixed,41.5,27.9,38.4,f,group B,free/reduced,none,60,60,60
159,17,other,private,high school,4.5,68.3,yes,<15 min,no,coaching,67.8,55.6,58.1,d,group B,standard,completed,61,86,87
160,18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,group study,71.7,77.0,86.0,b,group D,free/reduced,none,66,62,64
161,19,male,private,high school,3.2,76.2,no,15-30 min,no,group study,48.2,54.2,48.9,e,group B,free/reduced,completed,82,78,74
162,17,male,public,no formal,7.4,78.6,yes,<15 min,no,online videos,69.3,61.2,86.0,b,group E,free/reduced,completed,75,88,85
163,16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,group study,13.9,45.8,37.8,f,group B,free/reduced,none,49,53,52
164,16,other,private,phd,4.0,92.0,yes,<15 min,yes,textbook,93.9,65.3,71.9,c,group C,standard,none,52,53,49
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,38.4,35.6,43.4,e,group E,standard,none,81,92,91
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,59.9,70.7,58.3,d,group C,standard,completed,96,100,100
167,15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,group study,45.5,36.2,37.8,f,group C,free/reduced,completed,53,51,51
168,15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,notes,50.3,27.8,32.4,f,group B,free/reduced,completed,58,76,78
169,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,64.0,69.2,66.2,d,group B,standard,completed,68,83,78
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,71.2,80.1,78.4,c,group C,free/reduced,completed,67,75,70
171,14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,33.5,38.2,39.6,f,group A,standard,completed,72,73,74
172,14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,group study,84.2,97.3,86.7,b,group E,standard,none,94,88,78
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,80.6,58.2,80.8,c,group D,standard,none,79,86,81
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,50.5,39.8,50.5,e,group C,standard,none,63,67,70
175,18,female,public,phd,3.6,56.1,yes,30-60 min,no,mixed,42.0,37.8,48.2,e,group C,free/reduced,completed,43,51,54
176,16,other,private,graduate,2.7,79.5,yes,<15 min,no,notes,52.3,79.3,63.4,d,group C,standard,completed,81,91,87
177,18,other,public,no formal,6.7,90.8,yes,>60 min,no,group study,100.0,99.8,86.1,b,group B,free/reduced,completed,46,54,58
178,14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,online videos,62.7,64.5,63.1,d,group C,standard,completed,71,77,77
179,19,male,public,high school,1.5,61.7,yes,30-60 min,no,textbook,28.0,36.3,36.9,f,group B,free/reduced,completed,52,70,62
180,17,female,private,diploma,2.0,71.7,yes,>60 min,yes,textbook,24.3,40.3,43.7,e,group D,standard,completed,97,100,100
181,19,male,public,high school,2.7,77.6,yes,30-60 min,yes,coaching,51.5,59.8,49.5,e,group C,free/reduced,completed,62,68,75
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,56.9,47.5,59.5,d,group C,free/reduced,none,46,64,66
183,16,female,public,high school,4.9,59.8,yes,>60 min,no,coaching,64.1,81.9,73.0,c,group E,standard,none,50,50,47
184,18,other,private,diploma,7.7,56.6,yes,30-60 min,no,textbook,89.3,98.0,81.5,c,group D,standard,none,65,69,70
185,16,other,private,no formal,2.5,96.6,yes,15-30 min,no,mixed,47.4,61.8,59.7,d,group C,free/reduced,completed,45,52,49
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,39.6,41.6,38.6,f,group C,free/reduced,completed,65,67,65
187,14,male,private,high school,0.7,99.5,yes,30-60 min,no,coaching,49.6,46.3,44.7,e,group E,standard,none,80,76,65
188,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,47.5,54.3,58.4,d,group D,standard,completed,62,66,68
189,15,male,private,graduate,5.6,74.9,yes,<15 min,no,notes,72.9,55.4,71.8,c,group B,free/reduced,none,48,52,45
190,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,73.4,77.6,76.1,c,group C,standard,none,77,88,87
191,18,other,public,graduate,6.1,93.0,yes,30-60 min,no,group study,92.3,80.2,86.6,b,group E,standard,none,66,65,69
192,17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,32.8,16.7,25.5,f,group D,standard,completed,76,83,79
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,55.2,78.0,80.1,c,group B,standard,none,62,64,66
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,88.5,91.3,84.1,c,group D,standard,completed,77,62,62
195,19,female,private,no formal,1.9,51.1,yes,<15 min,yes,online videos,36.9,36.8,32.5,f,group C,standard,completed,69,84,85
196,14,other,private,phd,7.5,86.5,yes,30-60 min,no,coaching,100.0,96.6,93.0,b,group D,standard,none,61,55,52
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,78.9,78.5,71.9,c,group C,free/reduced,completed,59,69,65
198,14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,coaching,92.6,94.7,90.7,b,group E,free/reduced,none,55,56,51
199,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,56.8,69.7,60.9,d,group B,free/reduced,none,45,53,55
200,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,43.3,65.7,54.9,e,group B,free/reduced,none,78,79,76
201,16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,online videos,93.9,98.9,90.0,b,group C,standard,completed,67,84,86
202,19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,mixed,44.0,43.1,50.1,e,group D,free/reduced,none,65,81,77
203,16,male,public,high school,7.8,90.9,yes,15-30 min,no,mixed,92.8,100.0,100.0,a,group C,standard,none,69,77,69
204,18,other,public,graduate,1.7,60.3,yes,>60 min,yes,notes,40.5,37.8,42.2,e,group B,standard,none,57,69,68
205,16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,mixed,63.5,50.2,59.9,d,group C,standard,none,59,41,42
206,15,female,private,diploma,6.0,91.8,yes,15-30 min,no,mixed,93.0,76.3,82.7,c,group D,standard,completed,74,71,78
207,18,female,private,diploma,4.8,89.7,yes,15-30 min,no,mixed,82.3,71.1,80.2,c,group E,standard,none,82,62,62
208,19,female,public,graduate,3.7,52.6,yes,15-30 min,yes,mixed,60.5,66.4,57.8,d,group E,standard,completed,81,80,76
209,15,female,private,graduate,5.8,68.4,yes,>60 min,yes,coaching,61.4,67.7,65.2,d,group B,free/reduced,none,74,81,76
210,18,other,public,high school,6.0,92.6,yes,>60 min,yes,notes,77.9,93.2,82.5,c,group B,free/reduced,none,58,61,66
211,15,male,public,phd,4.8,92.5,yes,<15 min,yes,notes,73.5,86.9,76.2,c,group D,free/reduced,completed,80,79,79
212,18,other,private,graduate,2.9,81.8,yes,>60 min,yes,group study,67.5,64.3,65.5,d,group C,free/reduced,none,35,28,27
213,18,other,public,graduate,5.1,55.4,no,<15 min,no,notes,50.8,69.7,62.8,d,group C,free/reduced,none,42,62,60
214,16,other,public,high school,4.6,70.2,yes,<15 min,no,textbook,51.6,47.3,61.4,d,group C,free/reduced,completed,60,51,56
215,18,male,private,post graduate,6.5,98.1,yes,30-60 min,yes,mixed,92.9,74.5,83.2,c,group E,standard,completed,87,91,81
