student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,science_score,english_score,overall_score,final_grade,race/ethnicity,lunch,test preparation course,math score,reading score,writing score
709,16,male,public,post graduate,7.4,90.7,yes,30-60 min,no,textbook,100.0,82.9,99.6,a,group D,standard,none,89,87,79
306,14,female,private,post graduate,0.7,86.6,yes,>60 min,yes,group study,48.0,41.5,45.8,e,group A,standard,none,69,67,69
735,15,other,private,graduate,1.5,92.2,yes,>60 min,yes,textbook,69.0,46.2,57.8,d,group E,free/reduced,none,53,58,57
976,15,other,private,high school,4.3,84.0,yes,30-60 min,yes,group study,42.6,67.0,58.1,d,group C,standard,completed,64,82,77
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,91.1,100.0,95.9,a,group C,standard,completed,82,84,82
897,17,other,public,post graduate,2.2,97.1,yes,15-30 min,no,mixed,51.4,43.4,50.6,e,group B,free/reduced,none,36,29,27
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,95.0,79.2,89.6,b,group B,standard,none,90,95,93
545,18,other,public,phd,3.9,93.2,yes,30-60 min,yes,group study,55.8,88.4,74.3,c,group D,standard,none,64,63,66
351,17,male,private,graduate,1.8,87.8,yes,30-60 min,no,group study,51.2,49.3,44.4,e,group B,standard,none,52,65,69
905,16,male,public,diploma,4.5,83.0,yes,15-30 min,yes,notes,63.4,64.0,59.4,d,group D,free/reduced,none,67,84,84
537,16,male,private,diploma,2.4,63.6,yes,30-60 min,no,mixed,40.4,47.3,40.5,e,group C,standard,completed,51,60,58
345,19,other,private,graduate,6.6,85.6,yes,>60 min,no,textbook,84.4,100.0,84.7,c,group D,standard,none,79,73,67
995,17,female,public,post graduate,1.6,86.4,yes,15-30 min,no,group study,54.6,62.2,52.2,e,group A,standard,none,63,63,62
482,18,female,private,graduate,2.5,76.3,no,>60 min,yes,online videos,53.0,35.4,46.8,e,group D,free/reduced,none,52,59,56
576,16,other,public,diploma,6.0,72.8,yes,>60 min,no,mixed,90.5,59.6,70.6,c,group A,free/reduced,completed,40,55,53
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,57.4,72.9,62.2,d,group D,standard,none,40,42,38
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,82.5,77.4,77.1,c,group B,standard,none,63,65,61
232,19,other,private,post graduate,4.7,98.0,yes,<15 min,no,group study,63.3,86.5,70.5,c,group C,standard,none,46,43,42
964,15,other,public,post graduate,5.2,87.8,yes,<15 min,yes,coaching,84.4,72.6,68.9,d,group C,free/reduced,completed,65,76,75
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,55.2,78.0,80.1,c,group B,standard,none,62,64,66
334,18,other,public,graduate,6.2,92.4,yes,30-60 min,yes,group study,76.2,89.4,82.6,c,group B,standard,none,90,78,81
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,27.5,54.7,41.6,e,group A,free/reduced,none,47,57,44
205,16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,mixed,63.5,50.2,59.9,d,group C,standard,none,59,41,42
515,19,female,public,post graduate,5.0,84.8,yes,<15 min,no,textbook,63.8,76.3,68.3,d,group B,free/reduced,completed,77,97,94
800,16,male,public,diploma,6.9,73.7,yes,>60 min,yes,online videos,88.6,100.0,91.5,b,group C,standard,none,52,55,57
307,15,other,private,post graduate,7.4,89.9,yes,>60 min,no,mixed,100.0,97.4,96.6,a,group E,standard,completed,99,87,81
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,96.5,74.7,82.4,c,group B,standard,none,70,64,72
431,14,other,public,graduate,4.9,62.4,no,>60 min,no,online videos,53.0,47.2,60.4,d,group C,free/reduced,none,64,66,59
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,87.5,84.0,80.7,c,group A,standard,completed,80,78,81
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,57.9,53.0,61.7,d,group D,free/reduced,none,42,39,34
287,14,female,public,post graduate,1.4,90.2,yes,30-60 min,no,notes,59.2,54.9,52.6,e,group E,standard,completed,97,82,88
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,100.0,98.5,83.0,c,group A,free/reduced,completed,50,47,54
992,17,female,private,diploma,2.1,96.7,yes,>60 min,yes,textbook,42.9,59.6,54.9,e,group B,standard,completed,65,82,78
790,14,female,public,diploma,5.2,87.5,yes,30-60 min,no,online videos,88.4,76.7,78.0,c,group C,free/reduced,none,52,65,61
895,18,male,private,high school,6.4,75.8,yes,15-30 min,yes,textbook,73.5,79.4,75.8,c,group E,standard,none,59,62,69
399,15,male,public,diploma,1.7,76.7,yes,>60 min,no,group study,32.0,35.4,43.8,e,group B,standard,none,74,63,57
324,19,other,public,graduate,1.1,56.3,yes,<15 min,no,online videos,36.1,15.1,34.1,f,group C,free/reduced,none,43,53,53
520,17,female,public,diploma,4.3,62.6,yes,15-30 min,yes,textbook,55.1,64.4,59.4,d,group B,free/reduced,completed,67,78,79
917,17,female,private,graduate,3.0,62.6,yes,30-60 min,no,group study,45.2,14.3,42.6,e,group E,standard,completed,100,100,100
923,16,male,public,high school,7.9,72.2,yes,<15 min,yes,mixed,88.7,71.1,86.6,b,group D,standard,none,72,66,66
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,78.3,63.9,63.5,d,group B,standard,none,71,83,78
732,16,female,private,diploma,3.9,83.7,yes,>60 min,yes,notes,54.5,55.8,68.0,d,group A,free/reduced,none,55,46,43
466,19,female,public,high school,5.1,92.7,yes,30-60 min,no,mixed,65.9,67.9,71.9,c,group C,standard,none,84,87,91
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,46.6,57.5,46.2,e,group E,standard,completed,63,72,70
267,16,female,private,phd,2.8,86.5,yes,<15 min,no,coaching,58.7,59.4,51.8,e,group C,standard,none,63,75,81
358,19,other,private,graduate,0.7,63.5,yes,30-60 min,yes,mixed,45.8,35.5,40.4,e,group C,free/reduced,completed,42,66,69
869,16,male,private,graduate,2.1,84.3,yes,<15 min,yes,mixed,56.4,65.8,55.5,d,group E,free/reduced,completed,78,74,72
799,15,other,private,diploma,4.8,89.1,yes,30-60 min,no,group study,89.5,59.5,77.0,c,group E,standard,none,69,60,54
381,14,male,public,no formal,2.2,77.1,yes,>60 min,no,notes,57.3,54.6,57.0,d,group B,standard,none,80,86,83
632,15,male,private,graduate,7.9,95.3,yes,30-60 min,no,online videos,95.8,89.0,99.9,a,group B,standard,none,79,60,65
382,19,male,public,post graduate,7.0,84.0,yes,15-30 min,no,online videos,77.0,86.5,83.1,c,group C,standard,completed,87,100,95
491,19,other,public,graduate,4.0,84.7,yes,>60 min,yes,online videos,44.3,58.7,60.0,d,group A,free/reduced,none,65,85,76
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,32.0,41.9,39.6,f,group D,standard,none,51,63,61
901,14,other,public,post graduate,3.7,68.2,yes,30-60 min,yes,group study,64.5,62.4,54.9,e,group D,standard,none,85,84,89
251,15,female,private,phd,7.4,54.1,yes,30-60 min,no,online videos,99.7,76.5,87.5,b,group A,standard,completed,47,49,49
524,18,other,private,phd,7.8,82.2,yes,30-60 min,no,online videos,75.6,86.4,91.1,b,group C,free/reduced,none,54,59,50
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,70.4,81.3,69.6,d,group B,free/reduced,none,38,60,50
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,78.9,78.5,71.9,c,group C,free/reduced,completed,59,69,65
604,14,other,public,post graduate,1.8,66.9,yes,30-60 min,no,mixed,48.2,35.1,45.7,e,group D,free/reduced,none,60,57,51
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,48.9,54.0,58.5,d,group B,free/reduced,none,49,45,45
784,14,other,public,no formal,6.7,54.1,yes,30-60 min,yes,online videos,81.1,91.2,74.0,c,group C,standard,completed,52,59,62
588,14,female,private,diploma,3.3,66.7,yes,>60 min,no,group study,77.0,64.1,61.8,d,group C,free/reduced,none,44,63,62
798,16,other,private,no formal,7.6,80.9,yes,<15 min,no,group study,75.2,95.7,84.9,c,group E,free/reduced,none,70,84,81
240,17,other,public,graduate,3.0,55.5,yes,<15 min,yes,group study,32.7,32.3,39.2,f,group C,standard,none,84,80,80
291,18,male,public,graduate,2.6,69.3,yes,30-60 min,no,coaching,34.0,40.5,42.2,e,group C,standard,none,76,70,68
212,18,other,private,graduate,2.9,81.8,yes,>60 min,yes,group study,67.5,64.3,65.5,d,group C,free/reduced,none,35,28,27
718,16,other,private,post graduate,6.0,86.0,no,>60 min,yes,textbook,66.1,76.3,74.7,c,group C,standard,completed,96,96,99
360,18,other,public,post graduate,6.5,70.8,no,>60 min,yes,group study,100.0,81.5,78.5,c,group D,standard,none,80,90,89
450,15,other,private,phd,5.1,94.3,yes,<15 min,no,notes,75.7,86.4,77.5,c,group B,standard,none,81,73,72
228,17,female,private,phd,5.1,92.5,no,<15 min,no,notes,74.9,90.4,80.2,c,group D,standard,none,57,50,54
951,14,other,public,no formal,6.4,62.5,yes,<15 min,no,online videos,96.3,90.0,86.1,b,group E,standard,none,94,73,71
947,19,other,private,diploma,5.1,53.2,no,>60 min,no,online videos,55.0,57.0,63.6,d,group B,standard,none,82,82,80
797,19,other,private,high school,7.1,61.6,yes,15-30 min,yes,mixed,88.4,75.6,85.6,b,group D,standard,none,70,70,70
502,17,other,private,phd,2.0,94.0,yes,<15 min,yes,group study,77.6,57.5,63.4,d,group B,standard,completed,94,87,92
465,14,male,public,high school,4.2,56.3,yes,30-60 min,yes,online videos,62.6,59.7,62.3,d,group A,standard,completed,75,58,62
363,15,female,public,phd,3.7,80.3,yes,<15 min,no,notes,86.9,81.8,69.4,d,group C,standard,none,52,58,58
469,15,male,private,diploma,2.6,53.0,yes,>60 min,no,online videos,28.4,39.7,36.9,f,group A,free/reduced,completed,77,88,85
936,19,other,public,diploma,4.7,91.8,yes,>60 min,yes,online videos,79.3,70.0,83.6,c,group D,free/reduced,none,70,63,58
429,14,male,public,graduate,6.6,50.9,yes,30-60 min,no,online videos,86.2,67.1,79.1,c,group A,free/reduced,none,65,59,53
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,60.1,53.4,69.6,d,group B,free/reduced,none,40,43,39
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,57.7,77.6,77.5,c,group C,standard,completed,70,89,88
542,14,male,public,high school,4.0,70.7,yes,>60 min,no,online videos,84.0,71.8,69.6,d,group D,free/reduced,completed,79,82,80
441,19,female,private,high school,4.7,78.0,yes,15-30 min,no,group study,62.6,68.7,67.8,d,group C,standard,completed,67,81,79
483,15,other,private,phd,2.5,66.3,yes,30-60 min,yes,coaching,32.5,46.9,45.8,e,group C,free/reduced,none,68,68,61
423,18,female,public,no formal,6.2,99.2,yes,15-30 min,yes,online videos,67.6,89.8,81.6,c,group D,free/reduced,completed,47,58,67
779,15,female,public,high school,5.5,60.6,yes,<15 min,no,mixed,64.3,52.1,58.7,d,group A,standard,completed,72,79,82
950,15,other,private,phd,4.4,66.7,yes,30-60 min,yes,coaching,59.3,79.6,65.6,d,group E,free/reduced,completed,57,75,73
335,16,female,public,high school,4.1,93.8,no,30-60 min,yes,textbook,61.3,81.9,69.4,d,group C,standard,none,83,93,95
577,19,other,private,high school,4.4,68.2,yes,15-30 min,no,online videos,60.0,45.5,56.5,d,group A,standard,completed,61,51,52
935,16,female,public,high school,7.8,72.4,yes,>60 min,no,coaching,77.7,96.1,93.3,b,group C,standard,completed,98,87,90
568,15,male,private,no formal,7.5,94.7,yes,15-30 min,no,mixed,93.2,87.1,89.1,b,group D,free/reduced,completed,61,71,78
595,15,other,private,diploma,5.1,84.3,yes,<15 min,yes,group study,56.6,51.7,65.9,d,group C,standard,completed,92,100,99
531,17,male,public,graduate,7.9,65.2,no,15-30 min,no,coaching,88.8,85.6,84.9,c,group C,standard,completed,68,67,73
582,19,other,private,graduate,4.3,69.7,yes,15-30 min,no,notes,78.8,67.8,68.4,d,group E,standard,none,77,79,80
708,17,female,private,high school,6.0,95.6,yes,>60 min,no,group study,71.7,70.0,76.3,c,group C,standard,none,66,59,52
449,17,other,public,phd,3.3,55.8,no,>60 min,no,textbook,41.8,56.8,41.3,e,group B,standard,none,47,46,42
454,14,male,public,high school,4.1,63.8,yes,15-30 min,no,online videos,76.3,68.3,56.7,d,group C,free/reduced,none,65,58,49
229,17,male,private,no formal,3.5,55.5,no,15-30 min,no,textbook,64.3,66.4,54.8,e,group A,free/reduced,none,68,72,64
353,15,male,private,post graduate,5.4,55.6,yes,<15 min,yes,notes,54.5,56.5,58.9,d,group C,standard,completed,63,78,80
729,16,male,public,graduate,3.4,53.9,yes,<15 min,no,textbook,31.6,38.4,43.1,e,group D,free/reduced,none,73,92,84
213,18,other,public,graduate,5.1,55.4,no,<15 min,no,notes,50.8,69.7,62.8,d,group C,free/reduced,none,42,62,60
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,19.0,12.8,32.7,f,group E,standard,none,62,68,68
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,58.0,76.3,68.7,d,group D,standard,completed,68,75,81
303,14,other,public,graduate,4.7,63.2,yes,15-30 min,no,textbook,80.9,62.2,60.2,d,group C,standard,completed,67,84,81
629,17,other,public,post graduate,3.4,65.8,yes,30-60 min,yes,mixed,47.1,28.1,47.1,e,group D,free/reduced,none,49,57,46
778,14,other,private,post graduate,6.5,92.5,yes,15-30 min,no,coaching,93.2,78.4,88.4,b,group C,free/reduced,none,35,44,43
507,17,female,private,phd,2.1,85.9,yes,30-60 min,no,mixed,50.7,30.7,46.9,e,group A,standard,none,68,70,66
343,17,male,private,graduate,3.3,76.7,yes,30-60 min,yes,online videos,56.9,48.7,51.9,e,group B,standard,completed,69,76,74
486,15,other,public,phd,2.8,63.1,no,<15 min,yes,online videos,63.1,63.5,54.4,e,group C,standard,none,70,74,71
712,17,other,public,diploma,3.0,92.2,no,15-30 min,no,mixed,53.0,65.3,60.8,d,group E,standard,completed,80,85,85
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,81.5,86.3,78.3,c,group C,standard,completed,75,81,84
704,15,other,private,diploma,3.1,87.6,yes,<15 min,yes,coaching,46.2,39.5,50.2,e,group D,standard,none,63,64,67
312,18,other,private,post graduate,6.2,90.4,no,15-30 min,no,textbook,91.1,100.0,91.6,b,group B,standard,none,66,60,57
723,19,other,private,high school,3.0,82.6,yes,>60 min,no,coaching,58.8,51.2,63.7,d,group B,free/reduced,completed,74,90,88
630,16,female,public,phd,5.6,61.5,yes,<15 min,no,textbook,66.5,59.3,61.6,d,group C,standard,completed,44,51,55
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,55.4,57.0,53.1,e,group B,standard,none,72,72,74
317,18,male,public,diploma,1.7,92.5,yes,>60 min,yes,textbook,56.5,53.0,50.5,e,group D,standard,completed,77,82,91
707,14,other,public,phd,3.5,85.1,yes,15-30 min,yes,coaching,51.6,60.0,60.2,d,group D,standard,none,46,34,36
548,17,other,private,no formal,5.3,98.8,yes,>60 min,no,textbook,78.6,82.2,82.1,c,group C,standard,completed,72,67,64
873,14,male,public,post graduate,4.7,71.1,yes,30-60 min,no,textbook,53.9,50.2,56.4,d,group B,standard,completed,82,84,78
533,14,other,public,phd,7.8,99.7,yes,>60 min,yes,coaching,89.1,100.0,100.0,a,group E,standard,completed,62,61,58
478,14,male,private,no formal,0.6,75.2,no,15-30 min,no,coaching,23.0,28.6,30.2,f,group D,standard,none,80,68,72
405,16,other,private,high school,5.8,67.9,yes,15-30 min,no,textbook,87.5,83.6,76.2,c,group C,standard,none,54,59,62
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,80.6,58.2,80.8,c,group D,standard,none,79,86,81
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,52.9,52.8,53.1,e,group B,standard,none,87,95,86
395,18,other,public,phd,2.2,53.4,yes,30-60 min,no,group study,32.5,49.1,34.9,f,group C,standard,completed,65,74,77
421,19,male,public,high school,4.0,94.0,yes,30-60 min,yes,mixed,77.4,71.0,65.9,d,group C,free/reduced,completed,82,93,93
553,18,female,public,no formal,7.3,70.8,yes,<15 min,yes,mixed,92.6,71.2,82.5,c,group B,standard,none,40,48,50
904,19,female,private,post graduate,6.4,100.0,no,30-60 min,yes,coaching,81.1,79.2,83.0,c,group D,free/reduced,completed,93,100,100
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,50.2,63.1,59.9,d,group C,standard,none,65,72,74
940,17,male,public,diploma,1.4,82.4,yes,>60 min,yes,mixed,49.9,39.3,46.4,e,group D,standard,completed,77,68,69
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,56.9,47.5,59.5,d,group C,free/reduced,none,46,64,66
275,16,other,private,diploma,2.3,59.9,yes,15-30 min,no,online videos,42.4,28.0,49.2,e,group B,standard,completed,88,85,76
896,17,female,public,graduate,1.7,68.2,yes,<15 min,no,notes,58.6,44.4,48.1,e,group E,free/reduced,none,32,34,38
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,57.2,47.2,57.1,d,group C,standard,none,39,64,57
292,15,male,public,phd,4.3,72.2,no,30-60 min,yes,textbook,69.3,74.3,64.6,d,group D,standard,none,86,73,70
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,63.3,41.9,40.6,e,group C,free/reduced,completed,53,37,40
301,16,other,private,phd,7.7,68.3,yes,30-60 min,yes,mixed,86.9,75.7,90.9,b,group A,free/reduced,completed,81,78,81
425,16,other,private,high school,1.0,50.0,yes,>60 min,yes,textbook,34.4,49.2,34.5,f,group B,free/reduced,none,41,39,34
327,15,other,public,phd,5.8,53.1,yes,>60 min,yes,group study,60.8,53.2,68.1,d,group C,standard,none,61,61,62
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,100.0,96.2,95.6,a,group D,standard,none,88,73,78
424,17,other,public,phd,1.7,68.5,yes,>60 min,no,group study,39.4,29.3,41.3,e,group A,standard,completed,59,85,80
581,14,female,private,post graduate,5.5,68.4,no,<15 min,no,coaching,92.5,73.9,76.6,c,group D,standard,none,81,97,96
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,53.9,63.5,50.1,e,group C,standard,none,58,55,48
451,19,other,public,graduate,2.2,62.6,yes,15-30 min,no,group study,46.3,48.2,37.0,f,group C,free/reduced,completed,64,85,85
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,38.4,35.6,43.4,e,group E,standard,none,81,92,91
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,44.5,68.1,45.1,e,group C,standard,none,70,70,65
774,18,male,public,high school,6.1,74.4,yes,<15 min,no,notes,86.9,90.1,85.9,b,group C,free/reduced,none,62,78,79
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,88.5,91.3,84.1,c,group D,standard,completed,77,62,62
389,19,female,private,high school,4.0,74.7,yes,<15 min,no,notes,43.5,40.9,52.0,e,group D,standard,none,62,64,64
853,19,male,public,graduate,7.1,67.0,yes,30-60 min,yes,coaching,86.2,80.9,93.0,b,group E,standard,none,87,85,93
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,71.2,80.1,78.4,c,group C,free/reduced,completed,67,75,70
706,17,female,private,diploma,7.4,88.7,yes,15-30 min,no,coaching,95.6,83.6,98.0,a,group A,free/reduced,none,62,72,65
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,46.4,54.2,52.6,e,group D,standard,none,76,72,71
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,50.5,39.8,50.5,e,group C,standard,none,63,67,70
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,29.4,39.2,39.1,f,group B,standard,completed,88,95,92
746,16,male,private,phd,3.3,75.9,yes,30-60 min,no,coaching,57.3,52.7,57.1,d,group D,standard,none,72,79,74
479,17,male,public,graduate,6.4,94.4,yes,30-60 min,no,group study,64.3,95.8,83.8,c,group D,standard,none,55,64,70
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,58.0,59.5,59.5,d,group C,free/reduced,none,61,57,56
911,18,other,private,post graduate,4.4,57.2,yes,30-60 min,no,group study,63.4,44.6,59.9,d,group D,free/reduced,none,50,42,48
814,15,female,public,graduate,4.1,89.2,no,15-30 min,no,mixed,72.5,82.3,66.3,d,group E,standard,completed,87,84,76
239,15,other,public,no formal,4.7,69.7,yes,>60 min,no,coaching,50.2,59.2,63.7,d,group B,standard,none,54,52,51
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,86.7,82.9,90.2,b,group C,free/reduced,none,22,39,33
793,18,female,public,high school,5.7,93.4,yes,>60 min,no,mixed,91.9,85.0,90.2,b,group D,free/reduced,none,66,74,69
235,16,female,private,graduate,7.6,97.7,yes,30-60 min,yes,mixed,87.7,85.7,95.5,a,group C,standard,completed,83,82,84
221,14,female,private,no formal,5.0,50.5,yes,15-30 min,no,mixed,61.3,54.4,61.5,d,group D,standard,completed,56,68,74
924,14,male,private,no formal,5.4,90.4,yes,30-60 min,yes,coaching,88.9,83.8,87.1,b,group B,free/reduced,none,54,65,65
501,14,female,public,diploma,4.4,75.5,yes,30-60 min,no,textbook,84.3,74.7,74.2,c,group D,standard,none,74,79,82
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,39.9,35.2,43.3,e,group E,free/reduced,completed,87,74,70
991,16,male,private,no formal,3.4,99.7,yes,<15 min,yes,online videos,54.3,58.6,66.4,d,group E,free/reduced,completed,86,81,75
775,19,female,public,post graduate,2.7,71.1,yes,15-30 min,no,mixed,41.1,53.1,41.7,e,group B,standard,none,66,65,60
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,39.6,41.6,38.6,f,group C,free/reduced,completed,65,67,65
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,58.2,60.1,53.9,e,group C,standard,none,58,73,68
697,18,female,public,diploma,7.8,68.7,yes,30-60 min,no,textbook,87.8,100.0,86.4,b,group C,standard,completed,75,82,90
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,60.4,85.2,65.2,d,group B,free/reduced,none,52,76,70
589,19,other,public,post graduate,2.1,81.0,yes,>60 min,no,group study,49.8,29.0,39.5,f,group C,standard,none,54,64,65
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,81.5,79.5,86.2,b,group E,standard,completed,82,85,86
406,17,female,private,high school,1.5,73.7,yes,<15 min,yes,online videos,62.2,36.5,48.6,e,group C,standard,none,63,73,68
443,14,female,public,graduate,1.4,76.5,yes,15-30 min,no,online videos,50.6,40.5,50.8,e,group A,free/reduced,none,59,73,69
758,16,other,public,phd,3.1,87.6,yes,15-30 min,no,coaching,77.4,67.1,59.8,d,group E,free/reduced,completed,70,68,72
998,16,male,public,diploma,4.0,90.2,yes,>60 min,yes,coaching,72.1,65.8,59.6,d,group C,free/reduced,completed,59,71,65
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,31.2,57.3,41.4,e,group D,free/reduced,completed,74,71,80
468,17,male,private,diploma,6.7,78.6,yes,15-30 min,no,group study,87.0,82.8,91.4,b,group A,free/reduced,completed,72,67,65
540,14,other,public,post graduate,7.7,64.5,yes,>60 min,yes,textbook,94.4,97.9,94.6,b,group A,standard,completed,97,92,86
532,14,male,public,graduate,7.9,73.4,yes,15-30 min,no,group study,100.0,82.9,92.2,b,group C,standard,none,47,54,53
619,14,other,public,diploma,7.3,81.9,yes,30-60 min,yes,group study,71.0,75.8,83.5,c,group D,standard,none,95,81,84
695,14,other,public,phd,2.5,56.6,yes,>60 min,yes,coaching,52.7,47.9,44.4,e,group C,standard,none,49,63,56
927,17,other,public,diploma,6.6,55.1,yes,<15 min,no,online videos,60.8,72.0,66.7,d,group E,free/reduced,none,64,56,52
339,15,female,public,post graduate,6.3,69.9,yes,15-30 min,no,mixed,77.2,73.8,81.9,c,group B,free/reduced,none,24,38,27
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,78.6,99.8,90.4,b,group E,free/reduced,completed,77,69,68
508,15,other,public,diploma,2.0,51.9,no,30-60 min,yes,group study,33.3,52.9,38.5,f,group B,free/reduced,none,55,59,54
517,19,male,public,post graduate,6.5,75.8,yes,30-60 min,yes,textbook,100.0,100.0,92.0,b,group D,standard,none,74,89,84
921,19,other,public,no formal,3.4,64.0,yes,30-60 min,yes,textbook,56.5,57.0,54.0,e,group D,free/reduced,none,69,70,67
782,17,female,public,graduate,4.0,91.9,yes,<15 min,yes,textbook,71.2,89.9,72.0,c,group B,standard,none,77,90,84
265,19,other,public,high school,4.4,99.7,yes,30-60 min,no,online videos,58.8,63.1,75.7,c,group D,standard,none,76,73,68
818,14,female,public,high school,3.0,80.2,yes,>60 min,yes,mixed,62.7,46.9,51.8,e,group D,free/reduced,completed,61,70,76
711,18,other,private,high school,1.2,97.9,no,>60 min,no,textbook,45.5,46.0,44.2,e,group C,standard,completed,93,84,90
